accession,study,bioproject_accession,biosample_accession,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,shear_method,size_selection,DeepConsensus_version,polymerase_version,seq_plate_chemistry_version,generator_facility,generator_contact,filename,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75,sample_ID,path,production,data_type,notes,MM_tag,coverage,ntsm_score,ccs_algorithm
SRR25618913,SRP305758,PRJNA701308,SAMN26267388,HG04115.HFSS_dc,PacBio HiFi sequencing of HG04115 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 23kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG04115.m64076_210627_085544.dc.q20.fastq.gz,1712919,36767926400,36.77,47.0,50708.0,21465,17391,20905,24988,18677,22398,26601,HG04115,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04115.m64076_210627_085544.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.86,,
SRR25618912,SRP305758,PRJNA701308,SAMN26267397,HG04184.HFSS_dc,PacBio HiFi sequencing of HG04184 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG04184.m64076_210709_232529.dc.q20.fastq.gz,1779380,33085391912,33.09,3.0,49442.0,18593,15718,17832,20796,16226,18643,21884,HG04184,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210709_232529.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,10.67,,
SRR25618911,SRP305758,PRJNA701308,SAMN26267389,HG04199.HFSS_dc,PacBio HiFi sequencing of HG04199 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 22kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG04199.m54329U_210621_233920.dc.q20.fastq.gz,1296978,23827969734,23.83,548.0,51028.0,18371,14603,17571,21305,15688,18969,23054,HG04199,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04199.m54329U_210621_233920.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,7.69,,
SRR25618944,SRP305758,PRJNA701308,SAMN26237490,HG00423_lib1_dc,PacBio HiFi sequencing of HG00423 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2,C2,Washington University,tgraves@wustl.edu,HG00423.m64043_210211_005516.dc.q20.fastq.gz,2310672,42725362259,42.73,43.0,50530.0,18490,16420,18248,20149,16841,18666,20638,HG00423,s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00423.m64043_210211_005516.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.78,,
SRR25618943,SRP305758,PRJNA701308,SAMN26237491,HG00544_lib1_dc,PacBio HiFi sequencing of HG00544 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2,C2,Washington University,tgraves@wustl.edu,HG00544.m64136_210525_165246.dc.q20.fastq.gz,1183515,22833946978,22.83,86.0,50605.0,19293,16721,18215,21263,16988,18781,22319,HG00544,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64136_210525_165246.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,7.37,,
SRR25618910,SRP305758,PRJNA701308,SAMN26267378,HG00642.HFSS_dc,PacBio HiFi sequencing of HG00642 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 21kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG00642.m64076_210522_082905.dc.q20.fastq.gz,1762529,35309203283,35.31,45.0,49954.0,20033,16617,19354,22770,17395,20418,23992,HG00642,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m64076_210522_082905.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.39,,
SRR25618909,SRP305758,PRJNA701308,SAMN26237493,HG00738_lib1_dc,PacBio HiFi sequencing of HG00738 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG00738.m64136_210602_151340.dc.q20.fastq.gz,1174272,25652690225,25.65,90.0,50263.0,21845,18605,20381,23999,18983,21121,25679,HG00738,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00738.m64136_210602_151340.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,8.28,,
SRR25618942,SRP305758,PRJNA701308,SAMN26237496,HG01433_lib1_dc,PacBio HiFi sequencing of HG01433 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG01433.m64136_210610_203618.dc.q20.fastq.gz,1308578,27923629951,27.92,329.0,51256.0,21338,18151,20246,23776,18601,21143,25048,HG01433,s3://human-pangenomics/working/HPRC/HG01433/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01433.m64136_210610_203618.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,9.01,,
SRR25618936,SRP305758,PRJNA701308,SAMN26237502,HG02004_lib1_dc,PacBio HiFi sequencing of HG02004 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02004.m64136_210705_162724.dc.q20.fastq.gz,1714280,33838321685,33.84,88.0,50515.0,19739,16677,18998,22111,17126,19979,23018,HG02004,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02004.m64136_210705_162724.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,10.92,,
SRR25618935,SRP305758,PRJNA701308,SAMN26237503,HG02027_lib1_dc,PacBio HiFi sequencing of HG02027 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02027.m64136_210211_010151.dc.q20.fastq.gz,1917184,37594199977,37.59,4.0,50145.0,19609,17335,18788,20922,17608,19217,21787,HG02027,s3://human-pangenomics/working/HPRC/HG02027/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02027.m64136_210211_010151.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.13,,
SRR25618934,SRP305758,PRJNA701308,SAMN26237504,HG02083_lib1_dc,PacBio HiFi sequencing of HG02083 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02083.m64136_210323_162524.dc.q20.fastq.gz,1833475,36811552693,36.81,503.0,50776.0,20077,17266,18816,22128,17571,19431,23336,HG02083,s3://human-pangenomics/working/HPRC/HG02083/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02083.m64136_210323_162524.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.87,,
SRR25618926,SRP305758,PRJNA701308,SAMN26237507,HG02602_lib1_dc,PacBio HiFi sequencing of HG02602 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG02602.m64043_210618_184604.dc.q20.fastq.gz,1898341,39941766837,39.94,1.0,51030.0,21040,17908,19493,23265,18223,20233,24819,HG02602,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02602.m64043_210618_184604.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.88,,
SRR25618924,SRP305758,PRJNA701308,SAMN26267383,HG02647.HFSS_dc,PacBio HiFi sequencing of HG02647 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 19kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02647.m64076_210601_061523.dc.q20.fastq.gz,2085056,35892236784,35.89,48.0,50960.0,17214,14057,16737,19946,14998,17853,21213,HG02647,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m64076_210601_061523.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.58,,
SRR25618920,SRP305758,PRJNA701308,SAMN26267396,HG02738.HFSS_dc,PacBio HiFi sequencing of HG02738 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 22kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG02738.m64076_210718_085619.dc.q20.fastq.gz,1639182,30895715798,30.9,47.0,50065.0,18848,15814,18070,21172,16401,18970,22379,HG02738,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02738.m64076_210718_085619.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,9.97,,
SRR25618919,SRP305758,PRJNA701308,SAMN26237511,HG03654_lib1_dc,PacBio HiFi sequencing of HG03654 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG03654.m64043_210523_101851.dc.q20.fastq.gz,1945464,36993798458,36.99,47.0,50474.0,19015,16235,18044,21263,16577,18972,22130,HG03654,s3://human-pangenomics/working/HPRC/HG03654/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03654.m64043_210523_101851.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.93,,
SRR25618918,SRP305758,PRJNA701308,SAMN26237512,HG03669_lib1_dc,PacBio HiFi sequencing of HG03669 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG03669.m64043_210610_203329.dc.q20.fastq.gz,1499129,29069765726,29.07,206.0,49508.0,19391,16782,19383,21449,17553,19881,21989,HG03669,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03669.m64043_210610_203329.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,9.38,,
SRR25618917,SRP305758,PRJNA701308,SAMN26267385,HG03688.HFSS_dc,PacBio HiFi sequencing of HG03688 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 18kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG03688.m64076_210610_224207.dc.q20.fastq.gz,2188277,39361945067,39.36,46.0,49941.0,17987,15536,17431,19966,15939,18050,20722,HG03688,s3://human-pangenomics/working/HPRC/HG03688/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03688.m64076_210610_224207.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,12.7,,
SRR25618915,SRP305758,PRJNA701308,SAMN26237514,HG03831_lib1_dc,PacBio HiFi sequencing of HG03831 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 1,SageELF,1.2,P2.2,C2,Washington University,tgraves@wustl.edu,HG03831.m64136_210618_184849.dc.q20.fastq.gz,1936461,42330198159,42.33,90.0,51177.0,21859,19519,21161,23460,19816,21603,24162,HG03831,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03831.m64136_210618_184849.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,13.65,,
SRR25618914,SRP305758,PRJNA701308,SAMN26267386,HG03927a.HFSS_dc,PacBio HiFi sequencing of HG03927 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 17kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG03927.m64076_210519_075634.dc.q20.fastq.gz,2187729,34057400529,34.06,46.0,50092.0,15567,12928,15019,17713,13556,15865,18780,HG03927,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03927.m64076_210519_075634.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,10.99,,
SRR25618912,SRP305758,PRJNA701308,SAMN26267397,HG04184.HFSS_dc,PacBio HiFi sequencing of HG04184 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG04184.m64076_210712_194121.dc.q20.fastq.gz,1918918,35939818904,35.94,47.0,49417.0,18729,15807,17972,20981,16333,18802,22084,HG04184,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210712_194121.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.59,,
SRR25618911,SRP305758,PRJNA701308,SAMN26267389,HG04199.HFSS_dc,PacBio HiFi sequencing of HG04199 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,PacBio Sequel II,HiFi sequencing of 22kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2.2,C2,University of Washington,kmiyamot@uw.edu,HG04199.m64076_210613_183806.dc.q20.fastq.gz,1824114,36914912668,36.91,45.0,50248.0,20237,16434,19693,23507,17613,21074,25007,HG04199,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04199.m64076_210613_183806.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,unaligned reads,,,11.91,,
SRR26545347,SRP305758,PRJNA701308,SAMN33758778,PG00099_1.HFSS_dc,PacBio HiFi sequencing of HG00099 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00099.m54329U_220825_174247.dc.q20.fastq.gz,2687625,56102007798,56.1,107.0,64413.0,20874,17762,20158,23398,18348,21041,24496,HG00099,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00099.m54329U_220825_174247.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,18.1,,
SRR26545346,SRP305758,PRJNA701308,SAMN33621941,HG00140_lib1_dc,PacBio HiFi sequencing of HG00140 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00140.m64043_220728_173215.dc.q20.fastq.gz,572695,11345594738,11.35,117.0,55287.0,19810,17863,19392,21297,18143,19752,21783,HG00140,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00140/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00140.m64043_220728_173215.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,3.66,,
SRR26545335,SRP305758,PRJNA701308,SAMN33758779,PG00280.HFSS_dc,PacBio HiFi sequencing of HG00280 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00280.m54329U_220901_221341.dc.q20.fastq.gz,2766007,55104620054,55.1,91.0,66666.0,19922,16987,19159,22208,17476,19949,23253,HG00280,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00280/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00280.m54329U_220901_221341.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,17.78,,
SRR26545324,SRP305758,PRJNA701308,SAMN33621942,HG00323_lib1_dc,PacBio HiFi sequencing of HG00323 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00323.m64043_220728_173215.dc.q20.fastq.gz,352327,7524316582,7.52,1028.0,57489.0,21356,19009,20965,23289,19422,21456,23918,HG00323,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00323/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00323.m64043_220728_173215.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,2.43,,
SRR26545313,SRP305758,PRJNA701308,SAMN33621943,HG00408_lib1_dc,PacBio HiFi sequencing of HG00408 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00408.m64136_211111_194404.dc.q20.fastq.gz,2333870,44812028504,44.81,83.0,61297.0,19200,16485,17955,20955,16774,18540,22353,HG00408,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00408/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00408.m64136_211111_194404.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,14.46,,
SRR26545306,SRP305758,PRJNA701308,SAMN33758780,HG00558.HFSS_dc,PacBio HiFi sequencing of HG00558 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00558.m54329U_220107_233847.dc.q20.fastq.gz,1871072,39592932418,39.59,72.0,86842.0,21160,16689,20169,24635,17954,21883,26674,HG00558,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00558/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00558.m54329U_220107_233847.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,12.77,,
SRR26545305,SRP305758,PRJNA701308,SAMN33621944,HG00597_lib1_dc,PacBio HiFi sequencing of HG00597 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00597.m64043_211210_180342.dc.q20.fastq.gz,1933384,40772332453,40.77,435.0,56567.0,21088,19066,20503,22523,19281,20850,23032,HG00597,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00597/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00597.m64043_211210_180342.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,13.15,,
SRR26545304,SRP305758,PRJNA701308,SAMN33758781,HG00639.HFSS_dc,PacBio HiFi sequencing of HG00639 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG00639.m54329U_211222_104516.dc.q20.fastq.gz,1935344,38547156714,38.55,141.0,66199.0,19917,15827,19042,23213,17034,20677,25214,HG00639,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG00639/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00639.m54329U_211222_104516.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,12.43,,
SRR26545303,SRP305758,PRJNA701308,SAMN33758782,HG01074_SRE.HFSS_dc,PacBio HiFi sequencing of HG01074 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG01074.m54329U_211110_112322.dc.q20.fastq.gz,922809,19456910571,19.46,418.0,74720.0,21084,17558,20064,23620,18194,21114,25068,HG01074,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01074/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01074.m54329U_211110_112322.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,6.28,,
SRR26545302,SRP305758,PRJNA701308,SAMN33758783,HG01081.HFSS_dc,PacBio HiFi sequencing of HG01081 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 18kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG01081.m54329U_211223_214216.dc.q20.fastq.gz,2161506,42242556204,42.24,259.0,68446.0,19543,15202,18735,23108,16682,20603,25265,HG01081,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01081/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01081.m54329U_211223_214216.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,13.63,,
SRR26545345,SRP305758,PRJNA701308,SAMN33621945,HG01192_lib1_dc,PacBio HiFi sequencing of HG01192 rebasecalled with DeepConsensus v1.2,WGS,GENOMIC,size fractionation,single,PACBIO_SMRT,Sequel II,HiFi sequencing of 17kb fractionated gDNA rebasecalled using DeepConsensus,fastq.gz,Megaruptor 3,PippinHT,1.2,P2,C2,University of Washington,kmiyamot@uw.edu,HG01192.m64043_211124_192057.dc.q20.fastq.gz,2219197,45839976333,45.84,198.0,65995.0,20656,18096,19934,22553,18484,20515,23451,HG01192,s3://human-pangenomics/submissions/42AFCE59-2972-45EE-BB72-5B84E7B57377--HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20/HG01192/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01192.m64043_211124_192057.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2_2023_08_q20,unaligned reads,,,14.79,,
