sample_id,sample,haplotype,phasing,assembly_method,assembly_method_version,assembly_date,genbank_accession,assembly_md5,assembly_fai,assembly_gzi,assembly,
HG03239_hap2,HG03239,2,trio,hifiasm,0.19.9,2024-09,GCA_042037705.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03239/assemblies/freeze_2/HG03239_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03239/assemblies/freeze_2/HG03239_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03239/assemblies/freeze_2/HG03239_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03239/assemblies/freeze_2/HG03239_mat_hprc_r2_v1.0.1.fa.gz,
HG03942_hap2,HG03942,2,trio,hifiasm,0.19.9,2024-09,GCA_042036275.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03942/assemblies/freeze_2/HG03942_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03942/assemblies/freeze_2/HG03942_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03942/assemblies/freeze_2/HG03942_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03942/assemblies/freeze_2/HG03942_mat_hprc_r2_v1.0.1.fa.gz,
HG04157_hap2,HG04157,2,trio,hifiasm,0.19.9,2024-09,GCA_042036305.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04157/assemblies/freeze_2/HG04157_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04157/assemblies/freeze_2/HG04157_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04157/assemblies/freeze_2/HG04157_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04157/assemblies/freeze_2/HG04157_mat_hprc_r2_v1.0.1.fa.gz,
HG04228_hap2,HG04228,2,trio,hifiasm,0.19.9,2024-09,GCA_042036915.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04228/assemblies/freeze_2/HG04228_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04228/assemblies/freeze_2/HG04228_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04228/assemblies/freeze_2/HG04228_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG04228/assemblies/freeze_2/HG04228_mat_hprc_r2_v1.0.1.fa.gz,
HG00706_hap2,HG00706,2,trio,hifiasm,0.19.9,2024-09,GCA_046116005.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00706/assemblies/freeze_2/HG00706_mat_hprc_r2_v1.0.1.fa.gz,
HG03816_hap2,HG03816,2,trio,hifiasm,0.19.9,2024-09,GCA_046116015.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03816/assemblies/freeze_2/HG03816_mat_hprc_r2_v1.0.1.fa.gz,
HG00423_hap2,HG00423,2,trio,hifiasm,0.19.9,2024-09,GCA_042076545.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00423/assemblies/freeze_2/HG00423_mat_hprc_r2_v1.0.1.fa.gz,
HG00544_hap2,HG00544,2,trio,hifiasm,0.19.9,2024-09,GCA_042076565.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00544/assemblies/freeze_2/HG00544_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00544/assemblies/freeze_2/HG00544_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00544/assemblies/freeze_2/HG00544_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00544/assemblies/freeze_2/HG00544_mat_hprc_r2_v1.0.1.fa.gz,
NA19159_hap2,NA19159,2,hic,hifiasm,0.19.9,2024-09,GCA_046056495.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19159/assemblies/freeze_2/NA19159_hap2_hprc_r2_v1.0.1.fa.gz,
HG00126_hap2,HG00126,2,hic,hifiasm,0.19.9,2024-09,GCA_042077875.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00126/assemblies/freeze_2/HG00126_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00126/assemblies/freeze_2/HG00126_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00126/assemblies/freeze_2/HG00126_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00126/assemblies/freeze_2/HG00126_hap2_hprc_r2_v1.0.1.fa.gz,
HG00128_hap2,HG00128,2,hic,hifiasm,0.19.9,2024-09,GCA_042077885.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00128/assemblies/freeze_2/HG00128_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00128/assemblies/freeze_2/HG00128_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00128/assemblies/freeze_2/HG00128_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00128/assemblies/freeze_2/HG00128_hap2_hprc_r2_v1.0.1.fa.gz,
HG00133_hap2,HG00133,2,hic,hifiasm,0.19.9,2024-09,GCA_042077855.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00133/assemblies/freeze_2/HG00133_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00133/assemblies/freeze_2/HG00133_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00133/assemblies/freeze_2/HG00133_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00133/assemblies/freeze_2/HG00133_hap2_hprc_r2_v1.0.1.fa.gz,
HG00232_hap2,HG00232,2,hic,hifiasm,0.19.9,2024-09,GCA_042077745.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00232/assemblies/freeze_2/HG00232_hap2_hprc_r2_v1.0.1.fa.gz,
HG00290_hap2,HG00290,2,hic,hifiasm,0.19.9,2024-09,GCA_042077735.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG00290/assemblies/freeze_2/HG00290_hap2_hprc_r2_v1.0.1.fa.gz,
HG01786_hap2,HG01786,2,hic,hifiasm,0.19.9,2024-09,GCA_042076735.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG01786/assemblies/freeze_2/HG01786_hap2_hprc_r2_v1.0.1.fa.gz,
HG02178_hap2,HG02178,2,hic,hifiasm,0.19.9,2024-09,GCA_042077755.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02178/assemblies/freeze_2/HG02178_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02178/assemblies/freeze_2/HG02178_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02178/assemblies/freeze_2/HG02178_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02178/assemblies/freeze_2/HG02178_hap2_hprc_r2_v1.0.1.fa.gz,
HG03874_hap2,HG03874,2,hic,hifiasm,0.19.9,2024-09,GCA_042076685.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03874/assemblies/freeze_2/HG03874_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03874/assemblies/freeze_2/HG03874_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03874/assemblies/freeze_2/HG03874_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03874/assemblies/freeze_2/HG03874_hap2_hprc_r2_v1.0.1.fa.gz,
NA18505_hap2,NA18505,2,hic,hifiasm,0.19.9,2024-09,GCA_042077345.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18505/assemblies/freeze_2/NA18505_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18505/assemblies/freeze_2/NA18505_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18505/assemblies/freeze_2/NA18505_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18505/assemblies/freeze_2/NA18505_hap2_hprc_r2_v1.0.1.fa.gz,
NA18508_hap2,NA18508,2,hic,hifiasm,0.19.9,2024-09,GCA_042077155.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18508/assemblies/freeze_2/NA18508_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18508/assemblies/freeze_2/NA18508_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18508/assemblies/freeze_2/NA18508_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18508/assemblies/freeze_2/NA18508_hap2_hprc_r2_v1.0.1.fa.gz,
NA18952_hap2,NA18952,2,hic,hifiasm,0.19.9,2024-09,GCA_042077325.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18952/assemblies/freeze_2/NA18952_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18952/assemblies/freeze_2/NA18952_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18952/assemblies/freeze_2/NA18952_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18952/assemblies/freeze_2/NA18952_hap2_hprc_r2_v1.0.1.fa.gz,
NA18974_hap2,NA18974,2,hic,hifiasm,0.19.9,2024-09,GCA_042077285.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18974/assemblies/freeze_2/NA18974_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18974/assemblies/freeze_2/NA18974_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18974/assemblies/freeze_2/NA18974_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA18974/assemblies/freeze_2/NA18974_hap2_hprc_r2_v1.0.1.fa.gz,
NA19700_hap2,NA19700,2,hic,hifiasm,0.19.9,2024-09,GCA_042076885.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19700/assemblies/freeze_2/NA19700_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19700/assemblies/freeze_2/NA19700_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19700/assemblies/freeze_2/NA19700_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA19700/assemblies/freeze_2/NA19700_hap2_hprc_r2_v1.0.1.fa.gz,
NA20870_hap2,NA20870,2,hic,hifiasm,0.19.9,2024-09,GCA_042077145.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20870/assemblies/freeze_2/NA20870_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20870/assemblies/freeze_2/NA20870_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20870/assemblies/freeze_2/NA20870_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20870/assemblies/freeze_2/NA20870_hap2_hprc_r2_v1.0.1.fa.gz,
NA21093_hap2,NA21093,2,hic,hifiasm,0.19.9,2024-09,GCA_042076875.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21093/assemblies/freeze_2/NA21093_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21093/assemblies/freeze_2/NA21093_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21093/assemblies/freeze_2/NA21093_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21093/assemblies/freeze_2/NA21093_hap2_hprc_r2_v1.0.1.fa.gz,
NA21106_hap2,NA21106,2,hic,hifiasm,0.19.9,2024-09,GCA_042076865.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21106/assemblies/freeze_2/NA21106_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21106/assemblies/freeze_2/NA21106_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21106/assemblies/freeze_2/NA21106_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21106/assemblies/freeze_2/NA21106_hap2_hprc_r2_v1.0.1.fa.gz,
NA21110_hap2,NA21110,2,hic,hifiasm,0.19.9,2024-09,GCA_042077185.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21110/assemblies/freeze_2/NA21110_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21110/assemblies/freeze_2/NA21110_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21110/assemblies/freeze_2/NA21110_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA21110/assemblies/freeze_2/NA21110_hap2_hprc_r2_v1.0.1.fa.gz,
HG02392_hap2,HG02392,2,hic,hifiasm,0.19.9,2024-09,GCA_046043145.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02392/assemblies/freeze_2/HG02392_hap2_hprc_r2_v1.0.1.fa.gz,
HG02514_hap2,HG02514,2,trio,hifiasm,0.19.9,2024-10,GCA_045524175.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02514/assemblies/freeze_2/HG02514_mat_hprc_r2_v1.0.1.fa.gz,
HG02841_hap2,HG02841,2,trio,hifiasm,0.19.9,2024-10,GCA_045524615.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_mat_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_mat_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_mat_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_mat_hprc_r2_v1.0.1.fa.gz,
NA20799_hap2,NA20799,2,hic,hifiasm,0.19.9,2024-10,GCA_045524135.1,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap2_hprc_r2_v1.0.1.fa.gz.md5,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap2_hprc_r2_v1.0.1.fa.gz.fai,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap2_hprc_r2_v1.0.1.fa.gz.gzi,s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/NA20799/assemblies/freeze_2/NA20799_hap2_hprc_r2_v1.0.1.fa.gz,
